volcano_na,latitude,longitude,duration,BTime,ETime
Manam,-4.08,145.037,"2111",2014/06/29 00:00:00,2020/04/09 00:00:00
Fournaise,-21.244,55.708,"0",2014/06/21 00:00:00,2014/06/21 00:00:00
Karangetang,2.781,125.407,"646",2014/06/08 00:00:00,2016/03/15 00:00:00
Zhupanovsky,53.589,159.15,"657",2014/06/06 00:00:00,2016/03/24 00:00:00
Pavlof,55.417,-161.894,"2",2014/05/31 00:00:00,2014/06/02 00:00:00
Sangeang Api,-8.2,119.07,"524",2014/05/30 00:00:00,2015/11/05 00:00:00
Nyamuragira,-1.408,29.2,"715",2014/05/30 00:00:00,2016/05/14 00:00:00
Ahyi,20.42,145.03,"23",2014/04/24 00:00:00,2014/05/17 00:00:00
Semeru,-8.108,112.922,"2208",2014/04/01 00:00:00,2020/04/17 00:00:00
Krakatau,-6.102,105.423,"0",2014/03/31 00:00:00,2014/03/31 00:00:00
Karkar,-4.649,145.964,"1",2014/03/26 00:00:00,2014/03/27 00:00:00
Merapi,-7.54,110.446,"42",2014/03/09 00:00:00,2014/04/20 00:00:00
Slamet,-7.242,109.208,"193",2014/03/08 00:00:00,2014/09/17 00:00:00
Kelut,-7.93,112.308,"2",2014/02/13 00:00:00,2014/02/15 00:00:00
Karangetang,2.781,125.407,"0",2014/02/09 00:00:00,2014/02/09 00:00:00
San Cristobal,12.702,-87.004,"66",2014/02/04 00:00:00,2014/04/11 00:00:00
Marapi,-0.38,100.474,"23",2014/02/03 00:00:00,2014/02/26 00:00:00
Kavachi,-8.991,157.979,"0",2014/01/29 00:00:00,2014/01/29 00:00:00
Shishaldin,54.756,-163.97,"626",2014/01/28 00:00:00,2015/10/16 00:00:00
Asosan,32.884,131.104,"37",2014/01/13 00:00:00,2014/02/19 00:00:00
Raung,-8.119,114.056,"0",2014/01/04 00:00:00,2014/01/04 00:00:00
San Miguel,13.434,-88.269,"211",2013/12/29 00:00:00,2014/07/28 00:00:00
Nishinoshima,27.247,140.874,"727",2013/11/20 00:00:00,2015/11/17 00:00:00
Merapi,-7.54,110.446,"0",2013/11/18 00:00:00,2013/11/18 00:00:00
Zhupanovsky,53.589,159.15,"3",2013/10/23 00:00:00,2013/10/26 00:00:00
Barren Island,12.278,93.858,"948",2013/10/12 00:00:00,2016/05/17 00:00:00
Tangkuban Parahu,-6.77,107.6,"0",2013/10/05 00:00:00,2013/10/05 00:00:00
Zubair Group,15.05,42.18,"53",2013/09/28 00:00:00,2013/11/20 00:00:00
Telica,12.606,-86.84,"0",2013/09/25 00:00:00,2013/09/25 00:00:00
Sinabung,3.17,98.392,"1810",2013/09/15 00:00:00,2018/08/30 00:00:00
Etna,37.748,14.999,"2418",2013/09/03 00:00:00,2020/04/17 00:00:00
Ubinas,-16.355,-70.903,"909",2013/09/01 00:00:00,2016/02/27 00:00:00
Iliwerung,-8.53,123.57,"0",2013/08/20 00:00:00,2013/08/20 00:00:00
Klyuchevskoy,56.056,160.642,"127",2013/08/15 00:00:00,2013/12/20 00:00:00
Ketoi,47.35,152.475,"18",2013/07/25 00:00:00,2013/08/12 00:00:00
Villarrica,-39.42,-71.93,"4",2013/07/25 00:00:00,2013/07/29 00:00:00
Ulawun,-5.05,151.33,"166",2013/07/08 00:00:00,2013/12/21 00:00:00
Izu-Torishima,30.484,140.303,"0",2013/07/06 00:00:00,2013/07/06 00:00:00
Veniaminof,56.17,-159.38,"121",2013/06/13 00:00:00,2013/10/12 00:00:00
Chirinkotan,48.98,153.48,"355",2013/06/11 00:00:00,2014/06/01 00:00:00
San Cristobal,12.702,-87.004,"0",2013/06/07 00:00:00,2013/06/07 00:00:00
Kikai,30.793,130.305,"0",2013/06/04 00:00:00,2013/06/04 00:00:00
Semeru,-8.108,112.922,"178",2013/06/04 00:00:00,2013/11/29 00:00:00
Kerinci,-1.697,101.264,"0",2013/06/02 00:00:00,2013/06/02 00:00:00
Turrialba,10.025,-83.767,"14",2013/05/21 00:00:00,2013/06/04 00:00:00
Pavlof,55.417,-161.894,"44",2013/05/13 00:00:00,2013/06/26 00:00:00
Masaya,11.985,-86.165,"15",2013/05/11 00:00:00,2013/05/26 00:00:00
Mayon,13.257,123.685,"0",2013/05/07 00:00:00,2013/05/07 00:00:00
Lascar,-23.37,-67.73,"232",2013/04/02 00:00:00,2013/11/20 00:00:00
Pacaya,14.382,-90.601,"401",2013/03/05 00:00:00,2014/04/10 00:00:00
Tangkuban Parahu,-6.77,107.6,"13",2013/02/21 00:00:00,2013/03/06 00:00:00
Barren Island,12.278,93.858,"0",2013/02/16 00:00:00,2013/02/16 00:00:00
Etorofu-Yakeyama [Grozny Group],45.012,147.871,"47",2013/02/16 00:00:00,2013/04/04 00:00:00
Mariana Back-Arc Segment at 15.5°N,15.406,144.506,"1021",2013/02/13 00:00:00,2015/12/01 00:00:00
Karkar,-4.649,145.964,"28",2013/01/29 00:00:00,2013/02/26 00:00:00
Sangay,-2.005,-78.341,"119",2013/01/25 00:00:00,2013/05/24 00:00:00
Gamkonora,1.38,127.53,"124",2013/01/23 00:00:00,2013/05/27 00:00:00
Rabaul,-4.271,152.203,"416",2013/01/19 00:00:00,2014/03/11 00:00:00
Colima,19.514,-103.62,"1521",2013/01/06 00:00:00,2017/03/07 00:00:00
San Cristobal,12.702,-87.004,"2",2012/12/26 00:00:00,2012/12/28 00:00:00
Copahue,-37.856,-71.183,"353",2012/12/22 00:00:00,2013/12/10 00:00:00
Langila,-5.525,148.42,"4",2012/12/01 00:00:00,2012/12/05 00:00:00
Tolbachik,55.832,160.326,"282",2012/11/27 00:00:00,2013/09/05 00:00:00
Tongariro,-39.157,175.632,"0",2012/11/21 00:00:00,2012/11/21 00:00:00
Villarrica,-39.42,-71.93,"0",2012/11/14 00:00:00,2012/11/14 00:00:00
Chirpoi,46.532,150.871,"1437",2012/11/11 00:00:00,2016/10/18 00:00:00
